Price,Open,High,Low,Close,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2020-08-11,313.6472058419186,314.28967974380316,309.14059666822595,309.87615966796875,69601100
2020-08-12,312.33426643369586,314.9786385014679,312.3063340265369,314.1965026855469,53774400
2020-08-13,313.4236318971202,314.9506791323378,312.6973609576909,313.62847900390625,41816100
2020-08-14,313.2374434195396,314.17788179345587,312.5018521642348,313.6378173828125,47260400
2020-08-17,314.66205716261123,315.03449872445947,313.64714183000024,314.6341247558594,35481000
2020-08-18,315.0345207884622,315.74217969636476,313.42367611169993,315.3138732910156,38733900
2020-08-19,315.6956206421276,316.21704457129255,313.4330101907006,314.0010070800781,68054200
2020-08-20,312.25979052591396,315.46283945447374,312.1294487520339,314.9786682128906,42207800
2020-08-21,314.6434662209169,316.319467569846,314.2989286271465,316.09600830078125,55106600
2020-08-24,318.55416064090014,319.373549220361,316.0680909080304,319.299072265625,48588700
2020-08-25,319.8669645920307,320.50011801071275,318.69374682205734,320.41632080078125,38463400
2020-08-26,321.0122835704496,323.8987269329815,320.4629273041784,323.62872314453125,50790200
2020-08-27,324.50401813809793,325.7982576806448,322.6603938431942,324.3363952636719,58034100
2020-08-28,325.36990612519185,326.5617361382139,324.1687558383631,326.4313659667969,48588900
2020-08-31,326.21727226699716,327.10181752185133,325.016121813467,325.2489013671875,66099200
2020-09-01,326.0868395952134,328.414634686384,325.1836539632205,328.3122253417969,54908700
2020-09-02,330.239687258978,334.0386368138728,329.0850814287248,333.06097412109375,69540000
2020-09-03,331.35703881907256,331.8319182076837,318.9917899040027,321.59893798828125,148011100
2020-09-04,322.287861130519,323.8707445989441,311.80346390266044,318.97308349609375,139156300
2020-09-08,313.51681792696303,319.03837074391635,309.9506475331156,310.2579040527344,114465300
2020-09-09,314.2988892636627,318.8706823405091,313.42363601548215,316.3846130371094,91462300
2020-09-10,318.27481234408083,318.9358982731925,309.92268141530946,310.89105224609375,90569500
2020-09-11,312.6881240661922,313.7589043244753,308.20012747479143,311.0493469238281,84680200
2020-09-14,314.243054494716,316.93399958031324,311.19830838207776,315.146240234375,65605700
2020-09-15,317.623009522902,318.46101015038033,315.15555218042186,316.73846435546875,52920900
2020-09-16,317.9861553053102,319.4293770117385,315.2020928298086,315.4814453125,82096000
2020-09-17,310.5837777610291,314.43862066458155,310.05303357886373,312.70672607421875,91523300
2020-09-18,313.5190379780214,313.63121484014505,306.60118903134287,309.1065673828125,105877900
2020-09-21,304.4791385251408,305.8159605137822,300.7678013856903,305.6663818359375,99450800
2020-09-22,307.16218504731637,309.34036245461033,304.62873326507275,308.7794494628906,63612100
2020-09-23,309.3403650925504,309.62083585541194,301.11373624124093,301.6185607910156,93112200
2020-09-24,300.29106929413746,305.5074945729646,298.9635761461208,302.4225158691406,76681300
2020-09-25,301.56244500284976,308.10636341964545,300.6837164909055,307.311767578125,71069400
2020-09-28,311.5091839323194,313.1358057916758,310.5088925117926,312.4159851074219,64584600
2020-09-29,312.2102968119457,312.9581616662014,310.01340457489823,310.71453857421875,51304000
2020-09-30,311.3876651380587,316.24887285260775,311.1913555832398,313.0704040527344,104081100
2020-10-01,315.6879049567631,316.669481089299,313.18252645280916,315.08026123046875,88698700
2020-10-02,310.08822137343094,315.0522480175237,309.611441104255,312.0887756347656,89431100
2020-10-05,314.1641380536075,317.81002935219834,314.1174071960067,317.6230773925781,45713100
2020-10-06,317.7632668791493,319.87602637009286,312.5935735514593,313.10772705078125,90128900
2020-10-07,316.089886572941,319.3712026876588,316.0618423552603,318.5578918457031,56999600
2020-10-08,320.51173470268236,321.446580054868,319.5862184041517,321.3811340332031,45242500
2020-10-09,323.04514020531917,324.7185212837091,322.4188098294779,324.2510986328125,59528600
2020-10-12,326.81257201144956,330.95392993224266,326.3171051329937,329.467529296875,80388500
2020-10-13,329.3273558708228,329.5049787896775,326.34519658590705,327.31744384765625,73255500
2020-10-14,327.89698220853137,329.00009279275616,324.5222044391961,325.2607116699219,57727900
2020-10-15,321.3157832777302,325.34496565791613,320.77358536556255,324.8588562011719,60357700
2020-10-16,326.22368213340775,327.8970635893729,324.4848831737596,324.6625061035156,89501900
2020-10-19,325.93382930721646,326.5695173054903,318.81966980620405,319.7264709472656,68425600
2020-10-20,321.0819161745118,324.2790992294212,320.3153648123591,321.00714111328125,60051900
2020-10-21,320.9604510537785,323.1480143438587,320.0910516993104,320.3995666503906,63575000
2020-10-22,320.6145543301672,322.746000594194,318.4550638467144,322.15704345703125,55399300
2020-10-23,323.3910756020792,323.4471640460359,320.773519786705,323.2508544921875,49143900
2020-10-26,319.8386276418934,320.63325185419774,313.75277559835223,317.27716064453125,91473000
2020-10-27,317.6230498845085,317.95958050020954,315.9683554363344,316.1833801269531,65994100
2020-10-28,310.46214792470636,316.2114411488421,304.881120017363,305.3765869140625,127094300
2020-10-29,305.61027327627716,311.6774100015814,303.90884802318453,308.4802551269531,90597700
2020-10-30,306.891026053718,308.20916140224153,301.5811113871835,305.264404296875,120287300
2020-11-02,308.6859436035156,310.7051844382489,305.9187808477988,308.6859436035156,86068300
2020-11-03,311.9485735178558,316.2114663922025,308.77010476476823,314.1361083984375,93294200
2020-11-04,318.6513616623179,325.27008249557827,317.464118377996,321.1567687988281,126959700
2020-11-05,326.48535126806337,329.24315621191107,326.1301055026361,327.4201965332031,82039700
2020-11-06,327.1304342782304,328.60750594280904,324.99898797057915,327.345458984375,74973000
2020-11-09,340.25573172627907,340.6390218205,330.99140901794556,331.4588317871094,172304200
2020-11-10,330.4585655996221,332.0384569630994,327.67274394010326,330.9727478027344,85552000
2020-11-11,333.178939416336,334.2633636488822,331.9262498362968,333.4313659667969,58649000
2020-11-12,332.41229521149756,333.47803259878674,328.3737850034322,330.19671630859375,67546200
2020-11-13,332.12243855672193,335.51593114245816,331.598927535534,334.76806640625,62892200
2020-11-16,337.46046828584866,339.1431784222475,336.16101961858254,338.9468688964844,74541100
2020-11-17,336.51631856426724,338.339278607716,334.99251591253034,337.12396240234375,66111000
2020-11-18,337.39505010740044,337.9466054590558,333.0293096223353,333.06671142578125,70591300
2020-11-19,332.43103796646704,334.84292660380345,331.07550069207474,334.468994140625,59940900
2020-11-20,334.2072158491128,334.4128829692655,332.10381379132116,332.1785888671875,70417300
2020-11-23,334.0015954986704,335.44126554133413,331.74861444444855,334.16986083984375,63230600
2020-11-24,336.7406714963386,340.106120821583,335.88062965885445,339.5545654296875,62415900
2020-11-25,339.47038429923896,339.49842851756154,337.92789523306635,339.031005859375,45330900
2020-11-27,340.1341274591122,340.4519714534276,338.95621319313136,339.9752197265625,28514100
2020-11-30,339.18991339612273,339.4610265258987,335.7684046458298,338.4700927734375,83872700
2020-12-01,341.7513948482383,343.72390468919554,341.15308017678103,342.17205810546875,74231400
2020-12-02,341.05029075724553,343.0508449905468,340.4706911992724,342.8919372558594,45927000
2020-12-03,342.7890738139704,344.20069937126203,341.68596318749024,342.7984313964844,62882000
2020-12-04,343.3873452298885,345.75250244140625,343.29385500417726,345.75250244140625,50749900
2020-12-07,344.9766377155109,345.53755065887975,343.7613501125595,345.0420837402344,48944300
2020-12-08,343.7613143838118,346.6219387155356,343.7145835305619,346.05169677734375,42458900
2020-12-09,346.71545425201606,346.87436198803306,342.10667344005856,342.9480285644531,74098300
2020-12-10,341.56444143432566,343.8921972296762,340.6856845217805,342.8358459472656,57735400
2020-12-11,341.12502971471093,342.84514156984005,339.5918983232926,342.4338073730469,57698600
2020-12-14,344.62139042291807,345.7057858820026,340.7230729086934,340.90069580078125,69216200
2020-12-15,343.46223803266025,345.5095520019531,342.07868492300855,345.5095520019531,63865300
2020-12-16,345.7244952169514,346.9771844937207,344.8363807714885,346.05169677734375,58420500
2020-12-17,347.7064047120037,348.192514055572,346.8743786015614,347.9868469238281,64119500
2020-12-18,348.27786527428,348.4468478461317,344.5694742595204,346.59735107421875,136542300
2020-12-21,342.64485837144696,355.30966856907867,339.8846952983779,345.3580627441406,96386700
2020-12-22,345.6867592309522,345.7994143031846,343.64011568317665,344.7760925292969,47949000
2020-12-23,345.75240741041256,347.01043652218215,344.75724962571684,345.0858459472656,46201400
2020-12-24,345.56469965835925,346.4566000467822,344.9732605411663,346.4284362792969,26457900
2020-12-28,349.00076118305293,349.79877265593797,348.3717609361956,349.40447998046875,39000400
2020-12-29,350.9441720996381,351.12255215884386,348.1464473323094,348.7379150390625,53680500
2020-12-30,349.5640699675113,350.27759016276275,348.84118095183555,349.2354736328125,49455300
2020-12-31,349.03830792973855,351.74214362403853,348.52196275444635,351.0098571777344,78520700
2021-01-04,352.352456998177,352.48390701473295,342.5041346592767,346.2312927246094,110210800
2021-01-05,345.5834411763999,349.71428879033505,345.5364824706297,348.6158447265625,66426200
2021-01-06,347.09499826346524,353.92031398361445,346.5410917350817,350.7001037597656,107997700
2021-01-07,353.0940925087612,356.6616362990513,352.9157124541639,355.91058349609375,68766800
2021-01-08,357.3093866794121,358.1543281394145,354.03287841024945,357.93841552734375,71677200
2021-01-11,354.7370512322942,357.3000397350411,354.6149987034342,355.5256652832031,51034700
2021-01-12,355.71345275410084,356.6240907084926,353.33818441245427,355.60076904296875,52547700
2021-01-13,355.52569145986524,357.56293741200454,354.7370773508922,356.55841064453125,45303600
2021-01-14,357.3094361112345,357.8164125177031,354.9717577299637,355.3097229003906,49989100
2021-01-15,353.67610231720283,354.483482509932,350.84084552187676,352.718505859375,107160000
2021-01-19,355.19703254217853,356.0326052151817,353.70429588615946,355.4880676269531,51233300
2021-01-20,357.79761692490206,361.2525343487993,357.40332422678637,360.4075927734375,61836100
2021-01-21,360.97076098204457,361.40264343869046,359.8066208746784,360.7360534667969,47840100
2021-01-22,358.86788291159115,360.63288846334626,358.48295904970183,359.4593505859375,52860500
2021-01-25,360.2010246976405,361.2337150808615,355.30969832974995,360.8769836425781,70402000
2021-01-26,361.83452940022454,362.2476169558365,360.0789216142848,360.3136291503906,42665300
2021-01-27,356.96204788835644,357.0559366459117,349.25425936186735,351.5074462890625,123351100
2021-01-28,353.33809342561653,358.5673841177919,352.8968707699908,354.5304260253906,94198100
2021-01-29,352.6529092626156,353.6293010158226,345.74310180652276,347.4330139160156,126765100
2021-02-01,350.859652324358,354.2582133435265,347.7239626367599,353.21612548828125,75817600
2021-02-02,356.42689113473466,359.77852193245957,353.3005990747994,358.2106628417969,64450700
2021-02-03,359.04627706726836,360.22921246243635,357.20617762542906,358.49237060546875,52427100
2021-02-04,359.5344621916985,362.61382458833737,358.6050293150717,362.56689453125,47142600
2021-02-05,364.4539428251779,364.70741669807336,362.51995465199013,363.993896484375,48669800
